         455364325 function calls (455357937 primitive calls) in 1357.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100900  232.495    0.002 1121.026    0.011 LLR_forecasting_CV.py:14(m_LLR)
 16390990  102.608    0.000  102.608    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   700299   59.304    0.000   68.885    0.000 linalg.py:464(inv)
  3059937   51.271    0.000  132.473    0.000 function_base.py:4908(insert)
  2039958   47.101    0.000   47.101    0.000 {built-in method numpy.linalg.lapack_lite.dgelsd}
  5104890   47.025    0.000   47.025    0.000 {built-in method numpy.core.multiarray.dot}
 41999640   46.940    0.000   46.940    0.000 {built-in method numpy.core.multiarray.array}
  1022976   43.055    0.000  163.028    0.000 function_base.py:2904(cov)
  1021998   42.461    0.000  223.498    0.000 {method 'multivariate_normal' of 'mtrand.RandomState' objects}
  1019979   38.622    0.000  144.036    0.000 linalg.py:1880(lstsq)
   499600   34.833    0.000   42.921    0.000 additives.py:27(sampling_discrete)
      100   32.912    0.329 1334.846   13.348 CPF_BS_smoothing.py:65(_CPF_BS)
  1119879   27.072    0.000   27.072    0.000 {method 'argsort' of 'numpy.ndarray' objects}
  1022976   26.832    0.000   88.675    0.000 function_base.py:1044(average)
  2042955   21.597    0.000   29.298    0.000 stride_tricks.py:115(_broadcast_to)
  6119874   21.285    0.000   30.001    0.000 numeric.py:1459(normalize_axis_tuple)
  6498495   20.396    0.000   77.295    0.000 fromnumeric.py:1778(sum)
  1021998   20.088    0.000   42.442    0.000 lapack.py:590(_compute_lwork)
  1021998   19.931    0.000  107.026    0.000 decomp_svd.py:16(svd)
  3059937   17.060    0.000   57.267    0.000 numeric.py:1515(moveaxis)
      100   15.559    0.156 1156.784   11.568 CPF_BS_smoothing.py:18(_CPF)
  1620478   14.980    0.000   33.076    0.000 shape_base.py:844(tile)
  7026875   13.472    0.000   13.472    0.000 {built-in method numpy.core.multiarray.zeros}
  1021998   13.360    0.000   32.346    0.000 numeric.py:2319(within_tol)
  5284731   11.947    0.000   11.947    0.000 {method 'astype' of 'numpy.ndarray' objects}
  1019979    9.370    0.000    9.370    0.000 {method 'trace' of 'numpy.ndarray' objects}
  2039958    9.351    0.000   20.509    0.000 arraysetops.py:256(_unique1d)
  1021998    8.763    0.000   23.443    0.000 blas.py:297(_get_funcs)
   599400    8.670    0.000   15.487    0.000 linalg.py:1822(det)
  1620478    8.247    0.000    8.247    0.000 {method 'repeat' of 'numpy.ndarray' objects}
  1019979    7.753    0.000   17.624    0.000 arraysetops.py:388(in1d)
